НомерСделки,ДатаСделки,КолвоСчетов,НомерСчета,ДатаСчета,Сумма
CR077070,4025-10-03 08:22:40,2,CR094907,4025-10-07 19:15:54,100.0
CR077071,4025-10-03 08:58:52,2,CR095938,4025-10-28 10:06:15,4700.0
CR077071,4025-10-03 08:58:52,2,CR095995,4025-10-29 09:45:47,11873.0
CR077076,4025-12-15 00:00:00,2,CR101100,4025-12-31 00:00:00,0.0
CR077076,4025-12-15 00:00:00,2,CR101101,4026-01-07 12:18:58,2550.0
CR077140,4025-10-03 16:48:46,2,CR094577,4025-10-03 16:59:52,2850.0
CR077140,4025-10-03 16:48:46,2,CR099645,4025-12-17 09:43:29,0.0
CR077150,4025-09-05 00:00:00,2,CR094742,4025-10-06 15:43:14,1170.0
CR077150,4025-09-05 00:00:00,2,CR094753,4025-10-06 16:06:14,2020.0
CR077163,4025-10-06 09:07:08,2,CR099189,4025-12-10 09:57:16,1622.0
CR077163,4025-10-06 09:07:08,2,CR099360,4025-12-10 16:36:43,14840.0
CR077182,4025-10-06 09:42:38,2,CR099193,4025-12-10 09:58:44,4454.0
CR077182,4025-10-06 09:42:38,2,CR099361,4025-12-10 16:38:06,14840.0
CR077186,4025-10-06 09:52:23,2,CR095745,4025-10-24 12:57:47,1600.0
CR077186,4025-10-06 09:52:23,2,CR095746,4025-10-24 12:57:50,1300.0
CR077204,4025-10-01 00:00:00,2,CR095960,4025-10-28 14:09:04,1550.0
CR077204,4025-10-01 00:00:00,2,CR095961,4025-10-28 14:10:02,800.0
CR077237,4025-10-06 12:15:47,2,CR096340,4025-10-31 00:00:00,723.48
CR077237,4025-10-06 12:15:47,2,CR096341,4025-10-31 00:00:00,0.0
CR077273,4025-10-06 14:07:31,2,CR095547,4025-10-21 15:37:25,1355.0
CR077273,4025-10-06 14:07:31,2,CR096440,4025-10-31 00:00:00,0.0
CR077280,4025-10-06 14:18:22,2,CR095546,4025-10-21 15:36:34,380.0
